IEEE Trans. Pattern Anal. Mach. Intell.,1280194
IEEE Trans. Pattern Anal. Mach. Intell.,1280195
IEEE Trans. Pattern Anal. Mach. Intell.,1280196
IEEE Trans. Pattern Anal. Mach. Intell.,1280197
IEEE Trans. Pattern Anal. Mach. Intell.,1280198
IEEE Trans. Pattern Anal. Mach. Intell.,1280199
IEEE Trans. Pattern Anal. Mach. Intell.,1280200
IEEE Trans. Pattern Anal. Mach. Intell.,1280201
IEEE Trans. Pattern Anal. Mach. Intell.,1280202
IEEE Trans. Pattern Anal. Mach. Intell.,1280203
IEEE Trans. Pattern Anal. Mach. Intell.,1280204
IEEE Trans. Pattern Anal. Mach. Intell.,1280205
IEEE Trans. Pattern Anal. Mach. Intell.,1280206
IEEE Trans. Pattern Anal. Mach. Intell.,1280207
IEEE Trans. Pattern Anal. Mach. Intell.,1280208
IEEE Trans. Pattern Anal. Mach. Intell.,1280209
IEEE Trans. Pattern Anal. Mach. Intell.,1280210
IEEE Trans. Pattern Anal. Mach. Intell.,1280211
IEEE Trans. Pattern Anal. Mach. Intell.,1280212
IEEE Trans. Pattern Anal. Mach. Intell.,1280213
IEEE Trans. Pattern Anal. Mach. Intell.,1280214
IEEE Trans. Pattern Anal. Mach. Intell.,1280215
IEEE Trans. Pattern Anal. Mach. Intell.,1280216
IEEE Trans. Pattern Anal. Mach. Intell.,1280217
IEEE Trans. Pattern Anal. Mach. Intell.,1280218
IEEE Trans. Pattern Anal. Mach. Intell.,1280219
IEEE Trans. Pattern Anal. Mach. Intell.,1280220
IEEE Trans. Pattern Anal. Mach. Intell.,1280221
IEEE Trans. Pattern Anal. Mach. Intell.,1280222
IEEE Trans. Pattern Anal. Mach. Intell.,1280223
IEEE Trans. Pattern Anal. Mach. Intell.,1280224
IEEE Trans. Pattern Anal. Mach. Intell.,1280225
IEEE Trans. Pattern Anal. Mach. Intell.,1280226
IEEE Trans. Pattern Anal. Mach. Intell.,1280227
IEEE Trans. Pattern Anal. Mach. Intell.,1280228
IEEE Trans. Pattern Anal. Mach. Intell.,1280229
IEEE Trans. Pattern Anal. Mach. Intell.,1280230
IEEE Trans. Pattern Anal. Mach. Intell.,1280231
IEEE Trans. Pattern Anal. Mach. Intell.,1280232
IEEE Trans. Pattern Anal. Mach. Intell.,1280233
IEEE Trans. Pattern Anal. Mach. Intell.,1280234
IEEE Trans. Pattern Anal. Mach. Intell.,1280235
IEEE Trans. Pattern Anal. Mach. Intell.,1280236
